embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-1.6956978,-2.334266,test_000000,1,promoter,promoter,chr19,36111011,36111311,test
1,5.590699,3.5229557,test_000001,0,background,random_background_test,chr22,41702137,41702437,test
2,3.5286443,-2.272257,test_000002,0,background,random_background_test,chr22,18786810,18787110,test
3,2.7760859,0.32600108,test_000003,0,background,random_background_test,chr22,23498051,23498351,test
4,-5.934579,-0.31667817,test_000004,1,promoter,promoter,chr19,50983927,50984227,test
5,6.030367,6.683511,test_000005,0,background,random_background_test,chr20,47316492,47316792,test
6,-8.84498,2.114547,test_000006,1,promoter,promoter,chr19,32580929,32581229,test
7,6.6939216,0.2271182,test_000007,0,background,random_background_test,chr21,27236510,27236810,test
8,-2.891739,-1.6157974,test_000008,1,promoter,promoter,chr22,27573363,27573663,test
9,8.765006,6.8132777,test_000009,0,background,random_background_test,chr19,30953389,30953689,test
10,3.3470604,0.2756665,test_000010,0,background,random_background_test,chr19,40526493,40526793,test
11,1.3296871,-1.4857692,test_000011,0,background,random_background_test,chr22,35849944,35850244,test
12,6.3815126,1.2601286,test_000012,0,background,random_background_test,chr22,49505325,49505625,test
13,8.775967,2.5529315,test_000013,0,background,random_background_test,chr19,32147031,32147331,test
14,-9.531278,2.4437656,test_000014,1,promoter,promoter,chr20,33994340,33994640,test
15,-3.4668033,-1.1431897,test_000015,0,background,random_background_test,chr22,46677862,46678162,test
16,-1.5514764,-0.9096097,test_000016,1,promoter,promoter,chr19,58559212,58559512,test
17,0.17616521,-2.4374804,test_000017,0,background,random_background_test,chr19,5959437,5959737,test
18,-8.532374,1.7052943,test_000018,1,promoter,promoter,chr20,46894503,46894803,test
19,7.128761,-0.18679498,test_000019,0,background,random_background_test,chr20,29692234,29692534,test
20,3.551626,1.540494,test_000020,0,background,random_background_test,chr19,4202116,4202416,test
21,0.19543459,-1.1065701,test_000021,1,promoter,promoter,chr22,41940142,41940442,test
22,-3.4759638,-1.2922739,test_000022,1,promoter,promoter,chr20,57351542,57351842,test
23,7.9040685,3.6954877,test_000023,0,background,random_background_test,chr21,14681587,14681887,test
24,7.557851,2.475557,test_000024,0,background,random_background_test,chr20,42924001,42924301,test
25,-4.712016,-1.4427238,test_000025,1,promoter,promoter,chr20,44355844,44356144,test
26,-1.5781728,-2.0991366,test_000026,1,promoter,promoter,chr19,12969618,12969918,test
27,1.3610213,-2.0231078,test_000027,1,promoter,promoter,chr22,22376012,22376312,test
28,-7.2268476,1.2521601,test_000028,1,promoter,promoter,chr20,266933,267233,test
29,-9.726676,2.8325548,test_000029,1,promoter,promoter,chr22,50185738,50186038,test
30,4.3584266,-1.5863783,test_000030,0,background,random_background_test,chr21,31887147,31887447,test
31,7.495765,0.13177972,test_000031,0,background,random_background_test,chr20,3545398,3545698,test
32,3.303797,-1.7028091,test_000032,0,background,random_background_test,chr21,15431565,15431865,test
33,7.32438,1.0799066,test_000033,0,background,random_background_test,chr21,23125645,23125945,test
34,5.7316217,5.317733,test_000034,0,background,random_background_test,chr19,10505191,10505491,test
35,-2.892028,-1.0340115,test_000035,1,promoter,promoter,chr19,6772770,6773070,test
36,2.5684118,-1.3872712,test_000036,1,promoter,promoter,chr19,18022162,18022462,test
37,2.9660149,-2.1896906,test_000037,1,promoter,promoter,chr21,31840332,31840632,test
38,-8.313491,1.0985217,test_000038,1,promoter,promoter,chr21,37366833,37367133,test
39,-9.161247,1.7971283,test_000039,1,promoter,promoter,chr22,43343286,43343586,test
40,6.510319,-0.40888834,test_000040,0,background,random_background_test,chr21,11877009,11877309,test
41,0.97356623,-2.603197,test_000041,1,promoter,promoter,chr22,22043544,22043844,test
42,1.976487,-1.264471,test_000042,0,background,random_background_test,chr20,20871277,20871577,test
43,-8.74474,1.3407619,test_000043,1,promoter,promoter,chr20,2873638,2873938,test
44,-9.624411,2.428419,test_000044,1,promoter,promoter,chr19,46746332,46746632,test
45,8.487634,4.0858893,test_000045,0,background,random_background_test,chr21,28384105,28384405,test
46,-8.272748,2.011353,test_000046,1,promoter,promoter,chr20,324395,324695,test
47,0.7773918,-1.9600531,test_000047,0,background,random_background_test,chr19,30564983,30565283,test
48,4.9175687,-0.4929945,test_000048,0,background,random_background_test,chr20,49467576,49467876,test
49,-4.854664,-1.0275273,test_000049,1,promoter,promoter,chr19,12751717,12752017,test
50,4.640568,-0.8737411,test_000050,0,background,random_background_test,chr20,37052829,37053129,test
51,-6.790395,0.5632783,test_000051,1,promoter,promoter,chr20,63547631,63547931,test
52,8.381456,2.4207056,test_000052,0,background,random_background_test,chr20,7199286,7199586,test
53,9.515349,9.557984,test_000053,0,background,random_background_test,chr19,19957079,19957379,test
54,-9.979069,2.7176151,test_000054,1,promoter,promoter,chr20,47785351,47785651,test
55,-5.750197,-0.33527336,test_000055,1,promoter,promoter,chr20,63009122,63009422,test
56,-2.1908467,-1.4504095,test_000056,1,promoter,promoter,chr21,32021551,32021851,test
57,4.7280993,6.9975224,test_000057,0,background,random_background_test,chr19,22870508,22870808,test
58,-2.2109067,-1.5030543,test_000058,1,promoter,promoter,chr20,46901678,46901978,test
59,6.726322,-0.6834733,test_000059,0,background,random_background_test,chr20,25740570,25740870,test
60,5.759485,0.10596967,test_000060,1,promoter,promoter,chr20,43450917,43451217,test
61,-2.237553,-1.2935853,test_000061,1,promoter,promoter,chr22,42130507,42130807,test
62,-1.7199448,-0.3437709,test_000062,1,promoter,promoter,chr19,46601915,46602215,test
63,7.776088,1.0816953,test_000063,0,background,random_background_test,chr20,41061499,41061799,test
64,3.7260861,3.4182143,test_000064,0,background,random_background_test,chr22,32404652,32404952,test
