embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-3.5646174,0.4948293,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,4.1165805,-0.1788538,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,5.131517,-0.599573,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,2.0784435,0.3508506,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,-2.4550097,0.671717,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,0.39816007,0.69655615,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,1.2329392,0.6103879,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,-8.335294,-1.5974352,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,4.3644967,-0.2328258,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,0.29613134,0.7436668,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,-6.7316446,-0.7646952,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,-3.087103,0.44778025,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,1.8579524,0.47953945,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,0.4407296,0.72088087,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,3.385289,0.105343185,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,3.9332433,-0.089225575,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,-4.7413397,0.101599745,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,-2.037335,0.6552514,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,1.5591116,0.44732496,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,3.370105,0.13079059,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,-2.681826,0.49763,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,-7.67375,-1.2557203,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,-6.0214086,-0.4124443,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,0.5368903,0.72783875,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,-2.1392744,0.26624084,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,0.7643782,0.6863616,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,3.559566,0.043390587,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,4.5718713,-0.47089413,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,4.1420155,-0.19727474,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,-1.2710166,0.72160846,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,-3.6365235,0.376973,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,2.5677443,0.36951455,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,3.8221257,0.011201953,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,-0.32081407,0.76578206,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,-6.819549,-0.76166296,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,3.6795676,-0.10312082,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
36,0.5720394,0.56776106,test_000036,1,promoter,promoter,chr20,58888208,58888408,test
37,5.420397,-0.7635815,test_000037,0,background,random_background_test,chr22,39934830,39935030,test
38,-0.7201844,0.74789834,test_000038,1,promoter,promoter,chr19,6772820,6773020,test
39,5.329583,-0.8753021,test_000039,0,background,random_background_test,chr20,57626975,57627175,test
40,4.594852,-0.4586913,test_000040,0,background,random_background_test,chr20,13646087,13646287,test
41,-7.168136,-0.8924274,test_000041,1,promoter,promoter,chr19,13151797,13151997,test
42,3.350817,0.066497244,test_000042,0,background,random_background_test,chr20,55749106,55749306,test
43,4.4069176,-0.26587757,test_000043,0,background,random_background_test,chr20,28623221,28623421,test
44,0.5258623,0.7553186,test_000044,0,background,random_background_test,chr19,21849790,21849990,test
45,0.21584474,0.6346108,test_000045,0,background,random_background_test,chr22,29271588,29271788,test
46,1.9157538,0.44248828,test_000046,0,background,random_background_test,chr20,46071300,46071500,test
47,-1.6221062,0.64345425,test_000047,1,promoter,promoter,chr19,36330346,36330546,test
48,2.6961713,0.2921808,test_000048,0,background,random_background_test,chr20,53882346,53882546,test
49,-4.7261386,0.0971559,test_000049,1,promoter,promoter,chr20,33489798,33489998,test
50,-1.3709002,0.77711475,test_000050,1,promoter,promoter,chr19,3478845,3479045,test
51,4.6611433,-0.40833297,test_000051,0,background,random_background_test,chr19,48726095,48726295,test
52,0.261754,0.66073716,test_000052,1,promoter,promoter,chr19,18333346,18333546,test
53,0.8142592,0.62693405,test_000053,0,background,random_background_test,chr22,47385105,47385305,test
54,1.4147309,0.56391203,test_000054,1,promoter,promoter,chr19,42855627,42855827,test
55,-1.1466118,0.63816804,test_000055,1,promoter,promoter,chr19,12688071,12688271,test
56,5.91838,-0.98908985,test_000056,0,background,random_background_test,chr19,54722539,54722739,test
57,-4.572479,0.17773937,test_000057,0,background,random_background_test,chr19,4400053,4400253,test
58,1.1885158,0.6204772,test_000058,1,promoter,promoter,chr22,16825403,16825603,test
59,-4.3541417,0.27798507,test_000059,1,promoter,promoter,chr19,57578908,57579108,test
60,7.785146,-2.3785899,test_000060,0,background,random_background_test,chr20,1522494,1522694,test
61,2.6756797,0.3044405,test_000061,1,promoter,promoter,chr20,45546167,45546367,test
62,-8.905393,-2.0588844,test_000062,1,promoter,promoter,chr20,17226787,17226987,test
63,2.3138025,0.40184778,test_000063,1,promoter,promoter,chr19,51646915,51647115,test
64,-3.079279,0.49292484,test_000064,1,promoter,promoter,chr22,31496029,31496229,test
65,0.615757,0.5108443,test_000065,1,promoter,promoter,chr22,39946651,39946851,test
66,-1.0507141,0.668476,test_000066,1,promoter,promoter,chr19,37595090,37595290,test
67,-2.787997,0.49468735,test_000067,1,promoter,promoter,chr22,29603989,29604189,test
68,2.700089,0.23654902,test_000068,0,background,random_background_test,chr19,4921369,4921569,test
69,0.44264558,0.7091268,test_000069,0,background,random_background_test,chr22,25642743,25642943,test
70,-7.329296,-0.94463444,test_000070,1,promoter,promoter,chr20,34558507,34558707,test
71,-5.046073,0.11633223,test_000071,1,promoter,promoter,chr20,6122773,6122973,test
72,1.3700118,0.62685573,test_000072,0,background,random_background_test,chr21,7765753,7765953,test
73,-6.4595985,-0.7149377,test_000073,1,promoter,promoter,chr22,42500467,42500667,test
74,-8.956366,-2.1505811,test_000074,1,promoter,promoter,chr22,38214695,38214895,test
75,1.5070657,0.49464214,test_000075,0,background,random_background_test,chr19,32016208,32016408,test
76,-2.9854808,0.55476046,test_000076,0,background,random_background_test,chr19,18931425,18931625,test
77,-4.8103533,0.12129042,test_000077,1,promoter,promoter,chr19,45093033,45093233,test
78,-6.231689,-0.6777536,test_000078,1,promoter,promoter,chr19,21587205,21587405,test
79,0.9869537,0.5791305,test_000079,1,promoter,promoter,chr22,46090826,46091026,test
80,-3.4138296,0.4573841,test_000080,0,background,random_background_test,chr22,49363841,49364041,test
81,3.3166637,0.108570345,test_000081,0,background,random_background_test,chr20,61363499,61363699,test
82,-5.349571,-0.17395997,test_000082,1,promoter,promoter,chr20,38962174,38962374,test
83,3.5111432,-0.07361271,test_000083,1,promoter,promoter,chr19,47663641,47663841,test
84,-0.4608459,0.7322976,test_000084,1,promoter,promoter,chr20,45911757,45911957,test
