embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-9.264281,-1.973667,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,3.3333244,1.0802869,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,7.6065674,-1.6612408,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,2.760922,0.20004758,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,-4.9828067,0.73535895,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,3.206098,1.6646575,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,2.888667,-3.6710153,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,-10.178983,-3.5023637,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,5.3527684,0.6927464,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,2.4648552,2.5488977,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,-8.791862,-1.7252756,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,-5.7845926,0.9354589,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,2.167393,2.2082393,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,1.348068,2.772771,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,6.4016466,-0.0038255777,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,6.510991,-0.24470973,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,-3.8040533,2.3665736,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,-4.941926,0.64171755,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,4.5898223,-1.2549925,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,2.8011918,2.4923086,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,-1.355234,2.6281877,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,-7.550926,-1.4715079,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,-7.417389,-0.81981784,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,3.6362464,2.6526308,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,0.676623,-3.7404883,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,0.7539714,2.6211445,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,4.948388,0.30037194,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,4.4422064,1.6889442,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,4.2812943,0.9611189,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,-3.1942375,1.9523919,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,-8.151021,-0.9142007,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,7.679283,-0.6690788,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,5.8737497,0.5539496,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,-4.1373873,1.2813661,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,-9.324271,-2.963574,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,4.509217,1.9080386,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
36,-0.5802069,-0.07744003,test_000036,1,promoter,promoter,chr20,58888208,58888408,test
37,7.9349265,-3.917589,test_000037,0,background,random_background_test,chr22,39934830,39935030,test
38,-2.8549697,2.1426902,test_000038,1,promoter,promoter,chr19,6772820,6773020,test
39,7.847293,-2.7424624,test_000039,0,background,random_background_test,chr20,57626975,57627175,test
40,5.1911488,-1.019487,test_000040,0,background,random_background_test,chr20,13646087,13646287,test
41,-9.357994,-2.6326258,test_000041,1,promoter,promoter,chr19,13151797,13151997,test
42,3.7571986,1.5355759,test_000042,0,background,random_background_test,chr20,55749106,55749306,test
43,7.3729362,-0.61886454,test_000043,0,background,random_background_test,chr20,28623221,28623421,test
44,3.0240781,1.9075418,test_000044,0,background,random_background_test,chr19,21849790,21849990,test
45,2.0698314,1.4943943,test_000045,0,background,random_background_test,chr22,29271588,29271788,test
46,6.5137935,-1.7370197,test_000046,0,background,random_background_test,chr20,46071300,46071500,test
47,-6.6460795,-0.2002185,test_000047,1,promoter,promoter,chr19,36330346,36330546,test
48,5.2917156,1.1770122,test_000048,0,background,random_background_test,chr20,53882346,53882546,test
49,-9.231139,-2.3222935,test_000049,1,promoter,promoter,chr20,33489798,33489998,test
50,-2.9230316,2.1631076,test_000050,1,promoter,promoter,chr19,3478845,3479045,test
51,3.1877983,-0.012157194,test_000051,0,background,random_background_test,chr19,48726095,48726295,test
52,0.35189766,2.6058683,test_000052,1,promoter,promoter,chr19,18333346,18333546,test
53,-0.26128256,2.8011985,test_000053,0,background,random_background_test,chr22,47385105,47385305,test
54,-0.5167954,3.1970289,test_000054,1,promoter,promoter,chr19,42855627,42855827,test
55,-0.07668719,2.5112705,test_000055,1,promoter,promoter,chr19,12688071,12688271,test
56,8.901492,-2.981236,test_000056,0,background,random_background_test,chr19,54722539,54722739,test
57,-7.702205,-0.6732424,test_000057,0,background,random_background_test,chr19,4400053,4400253,test
58,4.1971626,2.0072272,test_000058,1,promoter,promoter,chr22,16825403,16825603,test
59,-8.229048,-1.6253599,test_000059,1,promoter,promoter,chr19,57578908,57579108,test
60,9.211764,-7.176793,test_000060,0,background,random_background_test,chr20,1522494,1522694,test
61,5.495003,-0.16860974,test_000061,1,promoter,promoter,chr20,45546167,45546367,test
62,-10.186998,-3.1551144,test_000062,1,promoter,promoter,chr20,17226787,17226987,test
63,0.33463335,3.589564,test_000063,1,promoter,promoter,chr19,51646915,51647115,test
