embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-6.1826367,-0.62018615,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,3.564625,0.008940714,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,6.46667,-1.274368,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,3.2379806,0.030133257,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,-2.4541435,0.5700093,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,0.99997836,0.5715576,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,2.7642732,0.14909826,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,-7.4087877,-1.2495587,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,3.4536653,0.041850995,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,1.676221,0.5119684,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,-5.398367,-0.30329213,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,-4.1972866,0.2900762,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,1.6565833,0.5240264,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,-1.6946476,0.61522436,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,5.814212,-0.8007731,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,4.739863,-0.4298945,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,-2.1130924,0.6803669,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,-2.8871965,0.49486747,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,5.841866,-0.8993729,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,2.9320235,0.20595153,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,-1.8037381,0.6841239,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,-5.025186,-0.12926757,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,-5.282647,-0.2122144,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,2.2185192,0.44882518,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,1.594045,0.43534374,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,0.73698306,0.68420994,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,3.0860467,0.29925343,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,2.2417808,0.4190889,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,5.3392854,-0.62606144,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,-3.2942512,0.14943694,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,-4.5373993,0.15526304,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,3.1678548,0.14459361,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,3.5137346,0.10339767,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,-2.220542,0.67385286,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,-8.076066,-1.645313,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,2.507194,0.38098213,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
